Name,Image,Price,Location,Shadow size,Time,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Bitterling,,900,River,1,All day,✓,✓,✓,-,-,-,-,-,-,-,✓,✓
Pale chub,,200,River,1,9 AM - 4 PM,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Crucian carp,,160,River,2,All day,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Dace,,240,River,3,4 PM - 9 AM,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Carp,,300,Pond,4,All day,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Koi,,4000,Pond,4,4 PM - 9 AM,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Goldfish,,1300,Pond,1,All day,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Pop-eyed goldfish,,1300,Pond,1,9 AM - 4 PM,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Ranchu goldfish,,4500,Pond,2,9 AM - 4 PM,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Killifish,,300,Pond,1,All day,-,-,-,✓,✓,✓,✓,✓,-,-,-,-
Crawfish,,200,Pond,2,All day,-,-,-,✓,✓,✓,✓,✓,✓,-,-,-
Soft-shelled turtle,,3750,River,4,4 PM - 9 AM,-,-,-,-,-,-,-,✓,✓,-,-,-
Snapping turtle,,5000,River,5,9 PM - 4 AM,-,-,-,✓,✓,✓,✓,✓,✓,✓,-,-
Tadpole,,100,Pond,1,All day,-,-,✓,✓,✓,✓,✓,-,-,-,-,-
Frog,,120,Pond,2,All day,-,-,-,-,✓,✓,✓,✓,-,-,-,-
Freshwater goby,,400,River,2,4 PM - 9 AM,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Loach,,400,River,2,All day,-,-,✓,✓,✓,-,-,-,-,-,-,-
Catfish,,800,Pond,4,4 PM - 9 AM,-,-,-,-,✓,✓,✓,✓,✓,✓,-,-
Giant snakehead,,5500,Pond,5,9 AM - 4 PM,-,-,-,-,-,✓,✓,✓,-,-,-,-
Bluegill,,180,River,2,9 AM - 4 PM,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Yellow perch,,300,River,3,All day,✓,✓,✓,-,-,-,-,-,-,✓,✓,✓
Black bass,,400,River,4,All day,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Tilapia,,800,River,3,All day,-,-,-,-,-,✓,✓,✓,✓,✓,-,-
Pike,,1800,River,5,All day,-,-,-,-,-,-,-,-,✓,✓,✓,✓
Pond smelt,,500,River,2,All day,✓,✓,-,-,-,-,-,-,-,-,-,✓
Sweetfish,,900,River,3,All day,-,-,-,-,-,-,✓,✓,✓,-,-,-
Cherry salmon,,1000,River (Clifftop) Pond,3,4 PM - 9 AM,-,-,✓,✓,✓,✓,-,-,✓,✓,✓,-
Char,,3800,River (Clifftop) Pond,3,4 PM - 9 AM,-,-,✓,✓,✓,✓,-,-,✓,✓,✓,-
Golden trout,,15000,River (Clifftop),3,4 PM - 9 AM,-,-,✓,✓,✓,-,-,-,✓,✓,✓,-
Stringfish,,15000,River (Clifftop),5,4 PM - 9 AM,✓,✓,✓,-,-,-,-,-,-,-,-,✓
Salmon,,700,River (Mouth),4,All day,-,-,-,-,-,-,-,-,✓,-,-,-
King salmon,,1800,River (Mouth),6,All day,-,-,-,-,-,-,-,-,✓,-,-,-
Mitten crab,,2000,River,2,4 PM - 9 AM,-,-,-,-,-,-,-,-,✓,✓,✓,-
Guppy,,1300,River,1,9 AM - 4 PM,-,-,-,✓,✓,✓,✓,✓,✓,✓,✓,-
Nibble fish,,1500,River,1,9 AM - 4 PM,-,-,-,-,✓,✓,✓,✓,✓,-,-,-
Angelfish,,3000,River,2,4 PM - 9 AM,-,-,-,-,✓,✓,✓,✓,✓,✓,-,-
Betta,,2500,River,2,9 AM - 4 PM,-,-,-,-,✓,✓,✓,✓,✓,✓,-,-
Neon tetra,,500,River,1,9 AM - 4 PM,-,-,-,✓,✓,✓,✓,✓,✓,✓,✓,-
Rainbowfish,,800,River,1,9 AM - 4 PM,-,-,-,-,✓,✓,✓,✓,✓,✓,-,-
Piranha,,2500,River,2,9 AM - 4 PM & 9 PM - 4 AM,-,-,-,-,-,✓,✓,✓,✓,-,-,-
Arowana,,10000,River,4,4 PM - 9 AM,-,-,-,-,-,✓,✓,✓,✓,-,-,-
Dorado,,15000,River,5,4 AM - 9 PM,-,-,-,-,-,✓,✓,✓,✓,-,-,-
Gar,,6000,Pond,6,4 PM - 9 AM,-,-,-,-,-,✓,✓,✓,✓,-,-,-
Arapaima,,10000,River,6,4 PM - 9 AM,-,-,-,-,-,✓,✓,✓,✓,-,-,-
Saddled bichir,,4000,River,4,9 PM - 4 AM,-,-,-,-,-,✓,✓,✓,✓,-,-,-
Sturgeon,,10000,River (Mouth),6,All day,✓,✓,✓,-,-,-,-,-,✓,✓,✓,✓
Sea butterfly,,1000,Sea,1,All day,✓,✓,✓,-,-,-,-,-,-,-,-,✓
Sea horse,,1100,Sea,1,All day,-,-,-,✓,✓,✓,✓,✓,✓,✓,✓,-
Clown fish,,650,Sea,1,All day,-,-,-,✓,✓,✓,✓,✓,✓,-,-,-
Surgeonfish,,1000,Sea,2,All day,-,-,-,✓,✓,✓,✓,✓,✓,-,-,-
Butterfly fish,,1000,Sea,2,All day,-,-,-,✓,✓,✓,✓,✓,✓,-,-,-
Napoleonfish,,10000,Sea,6,4 AM - 9 PM,-,-,-,-,-,-,✓,✓,-,-,-,-
Zebra turkeyfish,,500,Sea,3,All day,-,-,-,✓,✓,✓,✓,✓,✓,✓,✓,-
Blowfish,,5000,Sea,3,6 PM - 4 AM,✓,✓,-,-,-,-,-,-,-,-,✓,✓
Puffer fish,,250,Sea,3,All day,-,-,-,-,-,-,✓,✓,✓,-,-,-
Anchovy,,200,Sea,2,4 AM - 9 PM,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Horse mackerel,,150,Sea,2,All day,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Barred knifejaw,,5000,Sea,3,All day,-,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,-
Sea bass,,400,Sea,5,All day,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Red snapper,,3000,Sea,4,All day,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Dab,,300,Sea,3,All day,✓,✓,✓,✓,-,-,-,-,-,✓,✓,✓
Olive flounder,,800,Sea,5,All day,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Squid,,500,Sea,3,All day,✓,✓,✓,✓,✓,✓,✓,✓,-,-,-,✓
Moray eel,,2000,Sea,Narrow,All day,-,-,-,-,-,-,-,✓,✓,✓,-,-
Ribbon eel,,600,Sea,Narrow,All day,-,-,-,-,-,✓,✓,✓,✓,✓,-,-
Tuna,,7000,Pier,6,All day,✓,✓,✓,✓,-,-,-,-,-,-,✓,✓
Blue marlin,,10000,Pier,6,All day,✓,✓,✓,✓,-,-,✓,✓,✓,-,✓,✓
Giant trevally,,4500,Pier,5,All day,-,-,-,-,✓,✓,✓,✓,✓,✓,-,-
Mahi-mahi,,6000,Pier,5,All day,-,-,-,-,✓,✓,✓,✓,✓,✓,-,-
Ocean sunfish,,4000,Sea,6 (Fin),4 AM - 9 PM,-,-,-,-,-,-,✓,✓,✓,-,-,-
Ray,,3000,Sea,5,4 AM - 9 PM,-,-,-,-,-,-,-,✓,✓,✓,✓,-
Saw shark,,12000,Sea,6 (Fin),4 PM - 9 AM,-,-,-,-,-,✓,✓,✓,✓,-,-,-
Hammerhead shark,,8000,Sea,6 (Fin),4 PM - 9 AM,-,-,-,-,-,✓,✓,✓,✓,-,-,-
Great white shark,,15000,Sea,6 (Fin),4 PM - 9 AM,-,-,-,-,-,✓,✓,✓,✓,-,-,-
Whale shark,,13000,Sea,6 (Fin),All day,-,-,-,-,-,✓,✓,✓,✓,-,-,-
Suckerfish,,1500,Sea,6 (Fin),All day,-,-,-,-,-,✓,✓,✓,✓,-,-,-
Football fish,,2500,Sea,4,4 PM - 9 AM,✓,✓,✓,-,-,-,-,-,-,-,✓,✓
Oarfish,,9000,Sea,6,All day,✓,✓,✓,✓,✓,-,-,-,-,-,-,✓
Barreleye,,15000,Sea,2,9 PM - 4 AM,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Coelacanth,,15000,Sea (Raining),6,All day,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
